family,genus,Checked,Changed,subgenus,refgenus,species,origin,extin,duration,ref,ancestor,,range,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,gracilis,55.8,50.9,4.9,393,626,,5,1.80173774661918,82.9866666666667,1.16081143943531,1.70703705906847,114.71,74.77,59.48,80.4886056870867,131.77,4,1.15479642415569,336.22,573.94,73.11,197805.91,0.361451434893932,1.17920884302915,1.03218020974196,0.993798066125007,25.6,41.24,0.620756547041707,0.583040338835966,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,subbotinae,56.6,50.9,5.7,626,236,,5,3.6,79.254,1.278,1.359,97.325,81.749,58.688,88.1,139,4,1.315,286.173,392.853,84.384,101863.39,0.553055715110208,1.29145036463266,1.05216948264624,0.996683312865938,57.39,39.97,1.43582687015261,0.852679103094673,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,aequa,57.3,50.9,6.4,236,260,,5.6,2.969,80.399,1.139,1.447,95.165,82.281,63.75,87.1,150,4.5,1.293,257.175,369.887,67.377,90224.81,0.559368648157863,1.26448003951404,1.0268243428398,0.998129287175458,59.47,20.18,2.94697720515362,0.839059210093098,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,marginodentata,55.6,51.6,4,1158,626,,4,1.39147318003139,84.76,1.13618201804128,1.66525163666121,94.8,86.9,72.58,63.228383387509,131.39,4,1.07929061620597,391.04,651.18,77.98,249759.33,0.30446834558693,1.39602603526028,0.989774746687682,1,27.18,53.64,0.506711409395973,0.627463933067833,0,3
Truncorotaloididae,Morozovella,Y,,velascoensis Group,76,edgari,55.1,54,1.1,375,675,,1.1,1.915,46.102,1.023,2.127,45.301,46.414,46.592,85.5,151,6,1.086,111.328,232.383,51.574,34381.78,0.316537131003689,1.17402539845982,1.06404297095312,0.998333240641963,55.78,11.64,4.79209621993127,0.869512919290637,0,3
Truncorotaloididae,Morozovella,Y,,velascoensis Group,76,acuta,57.3,55,2.3,1191,675,,2.40000000000001,1.29146765484081,71.7533333333333,1.014632436695,1.71301775147929,56.6,73.04,85.62,65.7539680565628,164.14,5,1.02817914137789,270.4,463.2,76.78,172151.18,0.2479862176954,1.20230690656326,1.04204702432989,0.998308289813987,12.59,57.93,0.217331261867771,0.772457763971543,0,3
Truncorotaloididae,Morozovella,Y,,velascoensis Group,76,occlusa,59.8,55,4.8,502,1194,,2.6,1.984,80.382,1.139,1.713,69.145,88.915,83.087,82.8,130,4.75,1.171,204.839,353.961,62.824,262954.4,0.194376021089588,1.16923673113174,0.8974549207249,0.986240433217759,44.47,18.93,2.34918119387216,0.851925502312937,0,3
Truncorotaloididae,Morozovella,Y,,velascoensis Group,76,velascoensis,60,55,5,675,330,,5.3,2.483,40.024,0.925,1.871,38.858,33.42,47.795,83,134,6.75,1.083,274.782,533.4,51.048,179090.7,0.210358606002433,1.22527649111884,0.675921272430885,1,51.38,10.36,4.95945945945946,0.833953181669855,0,3
Truncorotaloididae,Morozovella,Y,,velascoensis Group,76,pasionensis,60.2,55,5.2,1194,675,,5.40000000000001,0.462041515230182,43.8333333333333,1.10835317823777,2.36233527428747,38.9,48.32,44.28,84.6519601175708,169.02,7,0.921446154127923,326.3,770.83,58.54,355685.12,0.0809296436128675,1.12876168718771,0.666686266617645,0.998302308989131,60.95,11.77,5.17841971112999,0.831920534123826,0,3
Truncorotaloididae,Morozovella,Y,,,76,allisonensis,55.5,55.4,0.100000000000001,1215,675,,0.100000000000001,4.78272457068263,59.83,1.1766326041833,2.56745928055047,62.02,59.72,57.75,89.4500178647965,167.51,8,1.30697845142232,294.77,114.81,55.96,57420.23,0.2485167683933,1.14160441814387,0.910684686908277,0.985714640227962,25.25,46.1,0.547722342733189,0.833774213912043,0,3
Truncorotaloididae,Morozovella,Y,,subbotinae-aragonensis Group,76,apanthesma,60.6,56.6,4,260,255,,2.9,1.255,67.329,1.134,1.798,64.711,64.202,73.075,88.5,158,4.75,1.042,213.71,383.628,84.042,93410.8,0.244686909864812,1.17186170581867,0.967740666503184,0.989335901184391,54.09,17.4,3.10862068965517,0.860833582138129,0,3
Truncorotaloididae,Morozovella,Y,,,76,acutispira,59.9,57,2.9,1192,1194,,2.9,1.09340539071176,56.75,1.05021298313802,1.71252520725969,54.23,55.81,60.21,88.314801336878,129.3,5,1.01098045323382,312.41,535.01,72.91,174088.97,0.197254656627585,1.13859796972484,0.892625945011928,0.988743785408718,37.54,53.37,0.70339141839985,0.80323898668266,0,3
Truncorotaloididae,Morozovella,Y,,,76,conicotruncata,61.9,58.8,3.1,1193,255,,2.6,1.54884851727815,56.36,1.12717460187665,1.52382268405925,71.24,52.84,45,78.4670833295491,168.82,6,1.10694378073624,361.84,551.38,72.62,207271.49,0.253345551768842,1.15009047223676,0.803092622378006,0.993970242975367,18.51,77.64,0.238408037094281,0.759046811561226,0,3
Truncorotaloididae,Morozovella,Y,,,76,angulata,61.9,58.8,3.1,255,535,,2.7,1.5,58.582,1.229,1.447,54.795,51.997,68.953,94.2,133,5,1.052,285.262,447.431,65.327,91919.77,0.393305379245401,1.17323450825261,1.03351782618194,1,54.25,7.61,7.12877792378449,0.885140096249894,0,3
Truncorotaloididae,Morozovella,Y,,,76,praeangulata,61.9,60.6,1.3,535,1189,,1.3,1.932,54.709,1.041,1.369,45.004,51.429,67.694,95.4,144,5.5,1.092,189.23,274.32,72.548,56163.14,0.446114123961018,1.11703711770511,0.995500604166831,0.971061473366102,54.58,18.44,2.95986984815618,0.865590952507205,0,3
Truncorotaloididae,Morozovelloides,Y,,,77,crassatus,48.3,38,10.3,618,1155,,10.3,2.687,79.857,1.303,1.939,69.661,81.924,87.985,87.7,135,4.75,1.24,195.943,408.214,53.22,100189.08,0.41278141290448,1.36912539185285,0.962191036092614,0.995728275071299,40.22,25.46,1.57973291437549,0.813757404325515,0,3
Truncorotaloididae,Morozovelloides,Y,,,77,lehneri,46.2,40.1,6.1,454,1156,,6.1,1.757,41.445,1.301,2.42,35.119,41.466,47.749,83.5,121,8,1.066,201.083,493.183,40.057,135813.85,0.208528806156368,1.1822832736762,0.752241819953348,0.965909940180686,37.55,26.35,1.42504743833017,0.763960128511811,0,3
Truncorotaloididae,Morozovelloides,Y,,,77,coronatus,47.4,40.1,7.3,1156,618,,7.3,0.864136831803175,75.4633333333333,1.15970628728775,2.06743728716006,85.78,77.72,62.89,84.8095116658817,147.61,5,0.962623404595997,208.49,431.04,53.94,120348.15,0.190357309190046,1.20968425389066,0.957180387060785,1,60.45,21.45,2.81818181818182,0.881171756675409,0,3
Truncorotaloididae,Morozovelloides,Y,,,77,bandyi,49.6,42.3,7.3,1155,1152,,7.3,3.46951886726835,77.9766666666667,1.15246807216704,1.85394586662319,107.12,68.74,58.07,80.557474135367,142.56,4,1.26057749965514,245.32,454.81,63.67,145316,0.386501830493545,1.33563067871811,1.04527446711538,0.982437760286259,28.51,43.6,0.653899082568807,0.706666833501077,0,3
Truncorotaloididae,Planorotalites,Y,,,89,capdevilensis,50.3,36.5,13.8,1161,569,,13.8,3.8356809626643,58.41,1.14617674823905,2.08773863586262,78.25,48.01,48.97,84.1996677307607,152.08,6,1.22929780404652,226.81,473.52,60.43,134004.3,0.310611077405725,1.08812177284781,0.88095298196372,0.993869474958914,35.81,48.52,0.738046166529266,0.940592842702093,0,3
